tr|I3L401|I3L401_HUMAN	ELK31778.1	100.000	28	0	0	2	29	191	218	4.93e-26	106
tr|I3L401|I3L401_HUMAN	ROI27712.1	100.000	28	0	0	2	29	199	226	4.98e-26	107
tr|I3L401|I3L401_HUMAN	KPP62844.1	100.000	28	0	0	2	29	224	251	5.39e-26	107
tr|I3L401|I3L401_HUMAN	XP_020655520.1	100.000	28	0	0	2	29	200	227	6.19e-26	106
tr|I3L401|I3L401_HUMAN	XP_014051358.1	100.000	28	0	0	2	29	154	181	1.52e-25	104
tr|I3L401|I3L401_HUMAN	XP_016090506.1	100.000	28	0	0	2	29	294	321	2.80e-25	104
tr|I3L401|I3L401_HUMAN	XP_015275792.1	96.429	28	1	0	2	29	207	234	7.26e-25	103
tr|I3L401|I3L401_HUMAN	ERE69363.1	100.000	28	0	0	2	29	208	235	1.02e-24	103
tr|I3L401|I3L401_HUMAN	PNF25281.1	92.857	28	2	0	2	29	451	478	2.30e-24	102
tr|I3L401|I3L401_HUMAN	ELW63620.1	100.000	27	0	0	2	28	198	224	2.40e-24	102
tr|I3L401|I3L401_HUMAN	XP_022918252.1	92.857	28	2	0	2	29	197	224	1.31e-23	100
tr|I3L401|I3L401_HUMAN	EQB77151.1	100.000	27	0	0	2	28	186	212	2.44e-23	99.5
tr|I3L401|I3L401_HUMAN	EKC31649.1	89.286	28	3	0	2	29	191	218	3.65e-23	98.7
tr|I3L401|I3L401_HUMAN	XP_011444631.1	89.286	28	3	0	2	29	197	224	3.86e-23	98.7
tr|I3L401|I3L401_HUMAN	XP_011444640.1	89.286	28	3	0	2	29	173	200	8.67e-23	97.5
tr|I3L401|I3L401_HUMAN	XP_026279835.1	92.857	28	2	0	2	29	228	255	9.81e-23	97.9
tr|I3L401|I3L401_HUMAN	XP_019881835.1	89.286	28	3	0	2	29	197	224	1.85e-22	97.0
tr|I3L401|I3L401_HUMAN	XP_026279836.1	92.857	28	2	0	2	29	197	224	2.17e-22	96.6
tr|I3L401|I3L401_HUMAN	XP_026279837.1	92.857	28	2	0	2	29	194	221	2.21e-22	96.6
tr|I3L401|I3L401_HUMAN	XP_018027246.1	89.286	28	3	0	2	29	212	239	6.14e-22	95.4
tr|I3L401|I3L401_HUMAN	EGT55705.1	89.286	28	3	0	2	29	222	249	6.55e-22	95.4
tr|I3L401|I3L401_HUMAN	EPB68227.1	89.286	28	3	0	2	29	175	202	7.75e-22	95.4
tr|I3L401|I3L401_HUMAN	KIH68239.1	89.286	28	3	0	2	29	216	243	1.44e-21	94.5
